season,INNING,INNING_TB,HOME_AWAY,RUNNER_STATE,OUT_COUNT,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIED,UPPER_1,UPPER_2,UPPER_3,UPPER_4
2025,2,1,home,1,0,1.24,1.4,1.5,1.48,1.37,1.17,0.95,0.73,0.53
2025,2,1,home,2,0,1.09,1.21,1.28,1.25,1.14,0.97,0.78,0.59,0.42
2025,2,1,home,3,0,1.79,1.97,2.02,1.95,1.75,1.46,1.17,0.87,0.6
2025,2,1,home,4,0,1.15,1.29,1.34,1.29,1.16,0.99,0.78,0.59,0.42
2025,2,1,home,5,0,1.54,1.67,1.68,1.58,1.39,1.14,0.89,0.66,0.45
2025,2,1,home,6,0,1.29,1.37,1.35,1.25,1.07,0.87,0.69,0.5,0.31
2025,2,1,home,7,0,2.46,2.59,2.56,2.34,2.02,1.65,1.25,0.89,0.55
2025,2,1,home,0,1,0.54,0.62,0.69,0.7,0.66,0.58,0.48,0.36,0.28
2025,2,1,home,1,1,0.99,1.15,1.25,1.26,1.17,1.02,0.83,0.65,0.45
2025,2,1,home,2,1,1.06,1.23,1.34,1.36,1.27,1.11,0.91,0.7,0.51
2025,2,1,home,3,1,1.67,1.9,2.03,2.02,1.86,1.6,1.29,0.99,0.69
2025,2,1,home,4,1,0.97,1.14,1.27,1.33,1.26,1.12,0.93,0.72,0.54
2025,2,1,home,5,1,1.47,1.64,1.75,1.73,1.62,1.41,1.16,0.89,0.63
2025,2,1,home,6,1,1.58,1.77,1.84,1.79,1.61,1.37,1.12,0.86,0.51
2025,2,1,home,7,1,2.2,2.41,2.49,2.41,2.15,1.82,1.45,1.1,0.68
2025,2,1,home,0,2,0.27,0.33,0.37,0.4,0.39,0.34,0.29,0.23,0.18
2025,2,1,home,1,2,0.65,0.77,0.86,0.9,0.86,0.75,0.63,0.49,0.35
2025,2,1,home,2,2,0.87,1.04,1.18,1.25,1.2,1.07,0.89,0.7,0.52
2025,2,1,home,3,2,1.32,1.55,1.71,1.77,1.67,1.45,1.2,0.91,0.64
2025,2,1,home,4,2,0.93,1.13,1.29,1.36,1.32,1.17,0.99,0.78,0.58
2025,2,1,home,5,2,1.36,1.61,1.78,1.84,1.74,1.52,1.26,0.96,0.68
2025,2,1,home,6,2,1.64,1.94,2.14,2.2,2.06,1.79,1.48,1.14,0.7
2025,2,1,home,7,2,2.49,2.88,3.11,3.14,2.91,2.51,2.03,1.52,0.94
2025,3,0,away,0,0,0.72,0.86,0.97,1.0,0.98,0.87,0.71,0.56,0.42
2025,3,0,away,1,0,1.17,1.38,1.52,1.56,1.48,1.3,1.06,0.83,0.61
2025,3,0,away,2,0,1.02,1.2,1.31,1.33,1.23,1.06,0.88,0.68,0.49
2025,3,0,away,3,0,1.71,1.95,2.09,2.07,1.91,1.63,1.32,0.99,0.7
2025,3,0,away,4,0,1.1,1.27,1.38,1.38,1.27,1.09,0.88,0.68,0.48
2025,3,0,away,5,0,1.49,1.67,1.75,1.7,1.52,1.27,1.01,0.76,0.52
2025,3,0,away,6,0,1.27,1.39,1.43,1.34,1.18,0.98,0.78,0.57,0.37
2025,3,0,away,7,0,2.42,2.64,2.68,2.54,2.24,1.85,1.42,1.02,0.64
2025,3,0,away,0,1,0.48,0.57,0.68,0.73,0.71,0.64,0.52,0.42,0.32
2025,3,0,away,1,1,0.91,1.1,1.25,1.33,1.28,1.13,0.93,0.74,0.52
2025,3,0,away,2,1,0.98,1.17,1.35,1.42,1.37,1.22,1.01,0.8,0.59
2025,3,0,away,3,1,1.56,1.84,2.06,2.13,2.02,1.77,1.46,1.11,0.79
2025,3,0,away,4,1,0.89,1.08,1.27,1.37,1.35,1.23,1.03,0.82,0.62
2025,3,0,away,5,1,1.38,1.61,1.78,1.83,1.74,1.55,1.29,1.0,0.71
2025,3,0,away,6,1,1.5,1.74,1.9,1.9,1.76,1.52,1.25,0.97,0.59
2025,3,0,away,7,1,2.1,2.41,2.58,2.56,2.35,2.02,1.63,1.24,0.78
2025,3,0,away,0,2,0.26,0.32,0.37,0.42,0.4,0.37,0.32,0.25,0.19
2025,3,0,away,1,2,0.6,0.74,0.86,0.94,0.91,0.83,0.69,0.54,0.39
2025,3,0,away,2,2,0.79,0.99,1.16,1.3,1.29,1.17,0.99,0.79,0.58
2025,3,0,away,3,2,1.21,1.49,1.71,1.84,1.78,1.6,1.33,1.03,0.73
2025,3,0,away,4,2,0.85,1.06,1.26,1.41,1.41,1.29,1.09,0.87,0.66
2025,3,0,away,5,2,1.26,1.54,1.78,1.92,1.87,1.67,1.4,1.08,0.78
2025,3,0,away,6,2,1.51,1.85,2.14,2.3,2.22,1.97,1.65,1.28,0.79
2025,3,0,away,7,2,2.32,2.78,3.14,3.29,3.15,2.77,2.27,1.71,1.08
2025,3,1,home,0,0,0.8,0.93,1.03,1.03,0.96,0.82,0.64,0.48,0.35
2025,3,1,home,1,0,1.29,1.5,1.61,1.6,1.45,1.21,0.95,0.71,0.5
2025,3,1,home,2,0,1.13,1.3,1.38,1.35,1.21,0.99,0.77,0.57,0.4
2025,3,1,home,3,0,1.88,2.1,2.18,2.09,1.84,1.5,1.16,0.83,0.55
2025,3,1,home,4,0,1.21,1.38,1.45,1.4,1.23,1.0,0.78,0.57,0.39
2025,3,1,home,5,0,1.63,1.79,1.81,1.69,1.44,1.15,0.87,0.62,0.41
2025,3,1,home,6,0,1.38,1.48,1.46,1.32,1.11,0.89,0.69,0.47,0.28
2025,3,1,home,7,0,2.62,2.77,2.74,2.49,2.09,1.65,1.21,0.83,0.5
2025,3,1,home,0,1,0.54,0.65,0.74,0.77,0.7,0.6,0.48,0.35,0.24
2025,3,1,home,1,1,1.02,1.22,1.35,1.38,1.26,1.06,0.83,0.61,0.42
2025,3,1,home,2,1,1.09,1.3,1.45,1.48,1.37,1.16,0.92,0.67,0.47
2025,3,1,home,3,1,1.73,2.02,2.2,2.19,1.99,1.65,1.29,0.94,0.64
2025,3,1,home,4,1,1.0,1.2,1.37,1.45,1.37,1.18,0.95,0.71,0.5
2025,3,1,home,5,1,1.53,1.76,1.89,1.87,1.74,1.47,1.16,0.86,0.58
