# HOME_AWAY,INNING,INNING_TB,OUT_COUNT,BASE_STATE,UNDER_5,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIE,UPPER_1,UPPER_2,UPPER_3,UPPER_4,UPPER_5
H,2,1,0,13,0.233,0.307,0.393,0.486,0.582,0.673,0.753,0.82,0.873,0.912,0.941
H,2,1,0,23,0.25,0.328,0.417,0.511,0.606,0.694,0.771,0.834,0.883,0.92,0.947
H,2,1,0,123,0.282,0.361,0.449,0.541,0.631,0.715,0.787,0.846,0.892,0.926,0.95
H,2,1,1,0,0.127,0.181,0.249,0.331,0.427,0.529,0.629,0.718,0.794,0.854,0.899
H,2,1,1,1,0.146,0.203,0.275,0.36,0.455,0.555,0.652,0.737,0.808,0.865,0.907
H,2,1,1,2,0.156,0.216,0.29,0.377,0.474,0.573,0.668,0.751,0.819,0.873,0.913
H,2,1,1,12,0.176,0.239,0.315,0.403,0.498,0.594,0.685,0.764,0.829,0.88,0.918
H,2,1,1,3,0.169,0.232,0.311,0.402,0.501,0.6,0.692,0.771,0.836,0.885,0.922
H,2,1,1,13,0.19,0.257,0.337,0.428,0.525,0.621,0.709,0.785,0.845,0.892,0.927
H,2,1,1,23,0.204,0.274,0.357,0.449,0.546,0.64,0.725,0.797,0.855,0.9,0.932
H,2,1,1,123,0.223,0.294,0.377,0.467,0.561,0.652,0.734,0.804,0.86,0.903,0.934
H,2,1,2,0,0.116,0.166,0.232,0.313,0.408,0.511,0.613,0.706,0.784,0.846,0.894
H,2,1,2,1,0.124,0.177,0.244,0.327,0.422,0.524,0.624,0.715,0.791,0.852,0.898
H,2,1,2,2,0.13,0.184,0.253,0.337,0.433,0.535,0.635,0.724,0.798,0.857,0.902
H,2,1,2,12,0.14,0.196,0.267,0.351,0.446,0.547,0.644,0.731,0.804,0.861,0.905
H,2,1,2,3,0.132,0.187,0.257,0.342,0.438,0.54,0.639,0.727,0.801,0.859,0.903
H,2,1,2,13,0.144,0.201,0.272,0.357,0.453,0.553,0.65,0.736,0.808,0.864,0.907
H,2,1,2,23,0.149,0.207,0.279,0.365,0.461,0.56,0.656,0.741,0.811,0.867,0.908
H,2,1,2,123,0.165,0.226,0.3,0.386,0.481,0.579,0.671,0.753,0.82,0.873,0.913
H,2,1,3,0,0.11,0.158,0.222,0.302,0.397,0.5,0.603,0.698,0.778,0.842,0.89
A,3,0,0,0,0.11,0.158,0.222,0.302,0.397,0.5,0.603,0.698,0.778,0.842,0.89
A,3,0,0,1,0.134,0.189,0.259,0.344,0.439,0.541,0.639,0.727,0.801,0.859,0.903
A,3,0,0,2,0.147,0.206,0.28,0.368,0.467,0.568,0.665,0.749,0.818,0.872,0.913
A,3,0,0,12,0.176,0.24,0.319,0.408,0.504,0.601,0.692,0.77,0.834,0.884,0.921
A,3,0,0,3,0.157,0.219,0.297,0.389,0.491,0.593,0.688,0.769,0.834,0.885,0.922
A,3,0,0,13,0.188,0.257,0.339,0.433,0.532,0.629,0.717,0.792,0.852,0.897,0.931
A,3,0,0,23,0.204,0.277,0.363,0.459,0.558,0.653,0.738,0.808,0.864,0.906,0.937
A,3,0,0,123,0.235,0.31,0.397,0.491,0.586,0.676,0.755,0.821,0.874,0.913,0.942
A,3,0,1,0,0.094,0.139,0.199,0.276,0.369,0.473,0.58,0.678,0.762,0.83,0.882
A,3,0,1,1,0.11,0.16,0.224,0.305,0.399,0.502,0.605,0.699,0.779,0.842,0.891
A,3,0,1,2,0.119,0.171,0.238,0.322,0.418,0.522,0.623,0.714,0.791,0.852,0.898
A,3,0,1,12,0.137,0.193,0.264,0.348,0.444,0.544,0.642,0.729,0.802,0.86,0.904
A,3,0,1,3,0.129,0.186,0.258,0.345,0.445,0.55,0.65,0.737,0.81,0.866,0.909
A,3,0,1,13,0.149,0.209,0.284,0.373,0.472,0.573,0.669,0.752,0.821,0.874,0.914
A,3,0,1,23,0.162,0.225,0.303,0.395,0.494,0.594,0.687,0.767,0.832,0.883,0.92
